flow_id,src_ip,src_port,dst_ip,dst_port,duration_ms,total_packets,total_bytes,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,packet_rate_per_sec,byte_rate_per_sec,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,mean_iat_ms,min_iat_ms,max_iat_ms,std_iat_ms,syn_count,ack_count,fin_count,rst_count,psh_count,label_str,label
10.0.0.45:52539-91.190.219.143:443,10.0.0.45,52539,91.190.219.143,443,118.21794509887695,5.0,339.0,3.0,2.0,219.0,120.0,42.29476325119696,2867.5849484311534,67.8,54.0,99.0,16.497272501841024,29.55448627471924,0.6158351898193359,59.419870376586914,27.904620696397863,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52540-91.190.219.143:443,10.0.0.45,52540,91.190.219.143,443,115.19312858581544,5.0,339.0,3.0,2.0,219.0,120.0,43.4053668077532,2942.8838695656677,67.8,54.0,99.0,16.497272501841024,28.798282146453857,0.3528594970703125,57.35611915588379,28.313073338419773,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52541-91.190.219.143:443,10.0.0.45,52541,91.190.219.143,443,117.70391464233398,5.0,339.0,3.0,2.0,219.0,120.0,42.479470756715806,2880.108117305332,67.8,54.0,99.0,16.497272501841024,29.425978660583496,0.5970001220703125,56.28490447998047,26.35525089827871,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52542-91.190.219.143:443,10.0.0.45,52542,91.190.219.143,443,125.65207481384276,5.0,339.0,3.0,2.0,219.0,120.0,39.79241892668821,2697.9260032294605,67.8,54.0,99.0,16.497272501841024,31.413018703460693,0.45013427734375,64.01300430297852,30.886573587961188,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52543-91.190.219.143:443,10.0.0.45,52543,91.190.219.143,443,114.31097984313963,5.0,339.0,3.0,2.0,219.0,120.0,43.74033016654326,2965.594385291633,67.8,54.0,99.0,16.497272501841024,28.577744960784912,0.4990100860595703,56.700944900512695,28.00642459925464,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52544-91.190.219.143:443,10.0.0.45,52544,91.190.219.143,443,116.40310287475586,5.0,339.0,3.0,2.0,219.0,120.0,42.95418143088298,2912.2935010138663,67.8,54.0,99.0,16.497272501841024,29.100775718688965,0.4880428314208984,58.30216407775879,28.55648542796561,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52545-91.190.219.143:443,10.0.0.45,52545,91.190.219.143,443,112.51306533813477,5.0,339.0,3.0,2.0,219.0,120.0,44.439283428760326,3012.98341646995,67.8,54.0,99.0,16.497272501841024,28.12826633453369,0.5629062652587891,55.57894706726074,27.29020831822153,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52546-91.190.219.143:443,10.0.0.45,52546,91.190.219.143,443,117.24686622619627,5.0,339.0,3.0,2.0,219.0,120.0,42.64506302755969,2891.335273268546,67.8,54.0,99.0,16.497272501841024,29.311716556549072,0.7658004760742188,59.53693389892578,28.24866210072311,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52547-91.190.219.143:443,10.0.0.45,52547,91.190.219.143,443,115.36312103271484,5.0,339.0,3.0,2.0,219.0,120.0,43.34140716063059,2938.5474054907536,67.8,54.0,99.0,16.497272501841024,28.84078025817871,0.5130767822265625,57.31797218322754,28.238872534701738,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52548-91.190.219.143:443,10.0.0.45,52548,91.190.219.143,443,112.37192153930664,5.0,339.0,3.0,2.0,219.0,120.0,44.49510101374432,3016.767848731865,67.8,54.0,99.0,16.497272501841024,28.09298038482666,0.372171401977539,56.22696876525879,27.59817109462416,2.0,4.0,0.0,1.0,1.0,benign,0
